district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page
AHMEDNAGAR,SANGAMNER,164094.9,13780.0,12788.7,92.8,critical,200
AHMEDNAGAR,PATHARDI,110910.0,10985.6,9098.4,82.8,semi_critical,200
AHMEDNAGAR,NAGAR,131868.0,12009.1,8005.1,66.7,safe,200
AHMEDNAGAR,KOPARGAON,66643.4,7719.5,7193.2,93.2,critical,200
AHMEDNAGAR,KARJAT,139398.0,11738.9,7418.7,63.2,safe,200
AHMEDNAGAR,AKOLA,123350.0,8350.3,6644.2,79.6,semi_critical,200
AHMEDNAGAR,JAMKHED,68603.0,6234.9,3878.0,62.2,safe,200
AHMEDNAGAR,NEWASA,132780.0,16804.8,14570.2,86.7,semi_critical,200
AHMEDNAGAR,PARNER,177332.0,16045.5,6625.4,41.3,safe,200
AHMEDNAGAR,RHATA,65448.4,7936.8,8986.6,113.2,over_exploited,200
AHMEDNAGAR,SHEVGAON,94578.0,8689.9,7359.4,84.7,semi_critical,200
AHMEDNAGAR,SHRIGONDA,135667.0,11462.6,8745.6,76.3,semi_critical,200
AHMEDNAGAR,SHRIRAMPUR,58316.3,7954.7,7301.8,91.8,critical,200
AHMEDNAGAR,RAHURI,93486.0,12794.3,12170.0,95.1,critical,200
AKOLA,AKOT,80449.2,4341.9,2815.4,64.8,safe,200
AKOLA,AKOLA,99521.9,4395.4,2632.0,59.9,safe,200
AKOLA,BALAPUR,67013.1,4350.9,2709.1,62.3,safe,200
AKOLA,BARSI TAKLI,68347.4,5542.5,4031.3,72.7,semi_critical,200
AKOLA,MURTIZAPUR,76798.0,5059.9,3477.6,68.7,safe,200
AKOLA,PATUR,59873.3,5756.4,3750.7,65.2,safe,200
AKOLA,TELHARA,62162.0,6838.3,4383.1,64.1,safe,201
AMRAVATI,ACHLAPUR,63812.0,7503.7,7258.6,96.7,critical,201
AMRAVATI,AMRAVATI,80309.0,7238.5,5553.5,76.7,semi_critical,201
AMRAVATI,,52089.0,5132.5,3057.5,59.6,safe,201
AMRAVATI,BHATKULI,57991.0,396.3,213.8,54.0,safe,201
AMRAVATI,CHANDUR BAZAR,66563.0,6422.0,9195.7,143.2,over_exploited,201
AMRAVATI,,47062.0,5040.1,3314.0,65.8,safe,201
AMRAVATI,CHIKHALDARA,31728.0,2997.0,1979.1,66.0,safe,201
AMRAVATI,DARYAPUR,77689.0,0.0,0.0,0.0,salinity,201
AMRAVATI,,59692.0,5835.4,4295.9,73.6,semi_critical,201
AMRAVATI,DHARNI,39180.0,3669.2,1881.2,51.3,safe,201
AMRAVATI,MORSHI,70106.0,9414.0,9488.8,100.8,over_exploited,201
AMRAVATI,NANDGAON,70595.0,7314.3,5646.1,77.2,semi_critical,201
AMRAVATI,TIWSA,53891.0,8597.8,5787.9,67.3,safe,201
AMRAVATI,WARUD,68532.0,10753.6,16077.1,149.5,over_exploited,201
AURANGABAD,AURANGABAD,147407.3,12181.7,8940.8,73.4,semi_critical,201
AURANGABAD,FULAMBRE,39998.8,4645.7,3495.4,75.2,semi_critical,201
AURANGABAD,GANGAPUR,128019.0,12886.1,9205.9,71.4,semi_critical,201
AURANGABAD,KANNAD,128047.0,15825.3,10524.2,66.5,safe,201
AURANGABAD,KHULDABAD,43724.0,5606.5,4019.7,71.7,semi_critical,201
AURANGABAD,PAITHAN,149988.0,17885.3,12809.6,71.6,semi_critical,201
AURANGABAD,SILLOD,117696.0,12808.3,9116.2,71.2,semi_critical,202
AURANGABAD,SOYEGAON,60928.0,4865.9,3087.3,63.4,safe,202
AURANGABAD,VAIJAPUR,134366.0,14931.6,11615.9,77.8,semi_critical,202
BEED,AMBEJOGAI,89860.0,10068.0,5388.1,53.5,safe,202
BEED,ASHTI,143644.0,16275.7,10301.3,63.3,safe,202
