district,taluka,area_ha,annual_recharge_ham,annual_extraction_ham,stage_of_extraction_pct,category_raw,source_page,assessment_unit_id,matched_taluka_in_db,match_score,status
AHMEDNAGAR,SANGAMNER,164094.9,13780.0,12788.7,92.8,critical,200,46f6bd6e-e165-450f-b370-eaeb171d1bdf,Sangamner,1.0,matched
AHMEDNAGAR,PATHARDI,110910.0,10985.6,9098.4,82.8,semi_critical,200,b170557c-23f2-4bc4-b534-0fe625f09d8d,Pathardi,1.0,matched
AHMEDNAGAR,NAGAR,131868.0,12009.1,8005.1,66.7,safe,200,c958265a-c503-482a-a6ee-56f93b95e414,Nagar,1.0,matched
AHMEDNAGAR,KOPARGAON,66643.4,7719.5,7193.2,93.2,critical,200,90a2e10d-20e1-42a0-9670-54240aec5cbc,Kopargaon,1.0,matched
AHMEDNAGAR,KARJAT,139398.0,11738.9,7418.7,63.2,safe,200,28b24260-8759-48f7-af32-99014b23973d,Karjat,1.0,matched
AHMEDNAGAR,AKOLA,123350.0,8350.3,6644.2,79.6,semi_critical,200,503a7789-745e-41a4-9bdd-7b6dbc6a3f0f,AKOLA,1.0,matched
AHMEDNAGAR,JAMKHED,68603.0,6234.9,3878.0,62.2,safe,200,6e14b90b-cab7-4618-adab-ce7b5cd28643,Jamkhed,1.0,matched
AHMEDNAGAR,NEWASA,132780.0,16804.8,14570.2,86.7,semi_critical,200,ea488a7a-4c29-4ec7-9c74-d8be5602a5a9,Nevasa,1.0,matched
AHMEDNAGAR,PARNER,177332.0,16045.5,6625.4,41.3,safe,200,18fc7c17-db2a-4d64-b3bb-3e01601f8b42,Parner,1.0,matched
AHMEDNAGAR,RHATA,65448.4,7936.8,8986.6,113.2,over_exploited,200,2dce4936-82d3-41aa-aed6-e2b2d8368843,Rahata,0.909,matched
AHMEDNAGAR,SHEVGAON,94578.0,8689.9,7359.4,84.7,semi_critical,200,c2587896-c421-4003-acf2-5f206a3523b6,Shevgaon,1.0,matched
AHMEDNAGAR,SHRIGONDA,135667.0,11462.6,8745.6,76.3,semi_critical,200,f35a5059-3585-44dc-be58-8d495e483085,Shrigonda,1.0,matched
AHMEDNAGAR,SHRIRAMPUR,58316.3,7954.7,7301.8,91.8,critical,200,5517c54c-cf84-46f1-8f63-e97c18d761f6,Shrirampur,1.0,matched
AHMEDNAGAR,RAHURI,93486.0,12794.3,12170.0,95.1,critical,200,f3c09872-9dc7-44a6-9b63-76a1ffe47b5b,Rahuri,1.0,matched
AKOLA,AKOT,80449.2,4341.9,2815.4,64.8,safe,200,7819a09a-79e7-4fe4-b159-df48471910de,Akot,1.0,matched
AKOLA,AKOLA,99521.9,4395.4,2632.0,59.9,safe,200,f36be0dc-971c-4cb0-a40f-88f4584a2cf9,AKOLA,1.0,matched
